State,Routine,Timestamp,Yaw,Pitch,Roll,q1,q2,q3,q4,Vel_Yaw,Vel_Pitch,Vel_Roll,Vel_Mag,Accel_Yaw,Accel_Pitch,Accel_Roll,Target_Yaw,Target_Pitch,Target_Roll,q1_Error,q2_Error,q3_Error,q4_Error,Yaw_Error,Pitch_Error,Roll_Error,Req_InertTorque_Yaw,Req_InertTorque_Pitch,Req_InertTorque_Roll,Req_Torque_M1,Req_Torque_M2,Req_Torque_M3,Req_Torque_M4,Accel_M1,Accel_M2,Accel_M3,Accel_M4,Duty_M1,Duty_M2,Duty_M3,Duty_M4,RPM_M1,RPM_M2,RPM_M3,RPM_M4,TargetRPM_M1,TargetRPM_M2,TargetRPM_M3,TargetRPM_M4
running,attitudeInput,1619556059.1430748,1.207637736097236,1.4918144377133888,-1.9347901130941207,-0.01701823006492929,0.012837681026087394,0.010755816362331916,0.9997149024625518,0.0014315767180919647,-0.0009960668369233608,-0.0010903899991512294,0.11784714534884948,-9.795160293579102,0.3347126841545105,-0.28624510765075684,0,0,0,-0.01701823006492929,0.012837681026087394,0.010755816362331916,0.9997149024625518,1.207637736097236,1.4918144377133888,-1.9347901130941207,-0.00018639408240825588,-0.0012770409293214181,-0.0009672783841115684,0.0007498693645224171,-0.0008371040411539842,-0.0006180688448784952,0.0009689045607979061,0,0,0,0,0.03964404799013154,-0.14012532186675739,-0.05434535113700238,0.07171320071988654,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.1960466,1.2046380827152967,1.48551454719329,-1.929395182366745,-0.01697026196925305,0.012783670065824952,0.010728124506337306,0.9997167075391505,0.0006128519740700722,-0.0022006853225678205,-0.001856500605642795,0.16865991458608162,-9.775113105773926,0.3127117156982422,-0.2603015601634979,0,0,0,-0.01697026196925305,0.012783670065824952,0.010728124506337306,0.9997167075391505,1.2046380827152967,1.48551454719329,-1.929395182366745,0.00014000715707663072,-0.0007881444724453686,-0.0006572208683291518,0.00041522532764108643,-0.0006068023061125819,-0.0005142253378246222,0.0005078022959290461,0,0,0,0,0.038546186940225616,-0.1405541883090253,-0.05388950187754923,0.06999218237170168,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.2430391,1.2033155192333023,1.4850713386220482,-1.9259312287890624,-0.016939854517102188,0.012780323221619578,0.010716135320978627,0.9997173946226368,0.000976756491214037,-0.0008525558489412069,-0.00013478691369295075,0.0746841690613483,-9.757049560546875,0.3472428321838379,-0.272026389837265,0,0,0,-0.016939854517102188,0.012780323221619578,0.010716135320978627,0.9997173946226368,1.2033155192333023,1.4850713386220482,-1.9259312287890624,-6.2447609755639515e-06,-0.0013269594595458497,-0.0013443419789653244,0.0009528011859764792,-0.0009360941757881511,-0.0009483854731437689,0.0009405098886208615,0,0,0,0,0.04034575036064663,-0.1412869560830357,-0.05546398065460542,0.07127451378907694,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.2933578,1.2020035329305712,1.4874490148762147,-1.924430543558951,-0.016926829015125096,0.012801400731114205,0.010704867511796992,0.9997174662925365,0.0011319376495480538,-0.0010494680584445595,-0.0006981392824649806,0.09706629685347934,-9.77613639831543,0.34407365322113037,-0.23048976063728333,0,0,0,-0.016926829015125096,0.012801400731114205,0.010704867511796992,0.9997174662925365,1.2020035329305712,1.4874490148762147,-1.924430543558951,-6.861284410280514e-05,-0.0012509454374870657,-0.0011175307915135295,0.000814471904534781,-0.0008602936980706819,-0.0007659552971931923,0.0009088103054122708,0,0,0,0,0.03940762777924791,-0.14016133339042405,-0.05404308519424084,0.0705934899754311,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.3429399,1.203396327959039,1.489859912746759,-1.9231186178384718,-0.016915755434823234,0.012822350892832998,0.010717222098326026,0.999717252870103,0.00034148320227861406,0.0010206162721812725,0.0007698206728696828,0.07581451114935803,-9.798008918762207,0.32006630301475525,-0.23211562633514404,0,0,0,-0.016915755434823234,0.012822350892832998,0.010717222098326026,0.999717252870103,1.203396327959039,1.489859912746759,-1.9231186178384718,0.00024731761477681446,-0.0020817134111043543,-0.0017063268178612453,0.0011191152825723659,-0.0015594336507366519,-0.0012939952450879337,0.0013845536882210838,0,0,0,0,0.040537517362098555,-0.1433169525404812,-0.056224207651694794,0.07277422425088498,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.3929563,1.2036018103111716,1.4863964093263964,-1.9207315975333337,-0.016894642824557327,0.012792327464089419,0.010718245265555076,0.9997179835435139,0.0011398445782065392,-0.0014285052868574857,-0.0005913836383819576,0.11005574650930595,-9.789840698242188,0.3159874677658081,-0.26568320393562317,0,0,0,-0.016894642824557327,0.012792327464089419,0.010718245265555076,0.9997179835435139,1.2036018103111716,1.4863964093263964,-1.9207315975333337,-7.250609605211533e-05,-0.0010981463785548092,-0.0011619785976917552,0.0008472777221193824,-0.0007508719749136479,-0.0007960081699235686,0.0008021415271094617,0,0,0,0,0.03982588304518137,-0.14029383165011355,-0.054240310673932084,0.06989723302136282,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.4429657,1.204457203456951,1.4866340065908272,-1.9211129227234818,-0.01689808640372957,0.012794238509870258,0.010725784913515344,0.9997178200246477,0.0005922492560744286,2.343324264138938e-05,0.0003654106086492543,0.039895031571345684,-9.77557373046875,0.34642234444618225,-0.2445143759250641,0,0,0,-0.01689808640372957,0.012794238509870258,0.010725784913515344,0.9997178200246477,1.204457203456951,1.4866340065908272,-1.9211129227234818,0.0001466101864232191,-0.0016791712042012906,-0.001545680080610673,0.0010411263380393353,-0.0012391878737693543,-0.0011447953950502177,0.0011355188167584721,0,0,0,0,0.04083461730455403,-0.14336496260386852,-0.05602492889792295,0.0719825230104996,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.4929583,1.2010495736751596,1.4868579656019134,-1.92284436798501,-0.01691283143525618,0.01279653325846243,0.010696281967094346,0.9997178574085231,-0.0011464340645074844,-0.0013251599132120609,-0.0007915444174408908,0.1101644895369942,-9.77181625366211,0.2714519500732422,-0.26582199335098267,0,0,0,-0.01691283143525618,0.01279653325846243,0.010696281967094346,0.9997178574085231,1.2010495736751596,1.4868579656019134,-1.92284436798501,0.0008424181599682877,-0.0011400334334157132,-0.0010790484833059866,0.0004651627030205873,-0.0011039651683017683,-0.0010608422965288574,0.0005082855747934979,0,0,0,0,0.03851799908241294,-0.14232481316985848,-0.055496386055377156,0.06884890619689427,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.5430143,1.1994969891999139,1.4871282872115574,-1.9192331782311483,-0.016881177532553478,0.01279945739946306,0.01068237283822451,0.9997185037028868,0.0010251009804010391,-0.002484152440264821,-0.0010668992498517032,0.16566427790510838,-9.777878761291504,0.25992676615715027,-0.259308785200119,0,0,0,-0.016881177532553478,0.01279945739946306,0.01068237283822451,0.9997185037028868,1.1994969891999139,1.4871282872115574,-1.9192331782311483,-2.6914257961676495e-05,-0.0006768180572279858,-0.0009670916672080477,0.0006933527030694672,-0.0004690670107377607,-0.0006743214487541617,0.00048809826505306626,0,0,0,0,0.039435815902925234,-0.1407064138349635,-0.05411352014223331,0.06901584059565542,0,0,0,0,0,0,0,0
running,attitudeInput,1619556059.592895,1.1990622534799351,1.488332064292678,-1.9139007118878946,-0.016834715123015237,0.012810520387230335,0.01067815848312413,0.9997191905057863,0.0018513908576965332,0.0019663666632920504,-0.0013074431070685382,0.17192222278809996,-9.78809642791748,0.3225918114185333,-0.257656067609787,0,0,0,-0.016834715123015237,0.012810520387230335,0.01067815848312413,0.9997191905057863,1.1990622534799351,1.488332064292678,-1.9139007118878946,-0.00035848469476023513,-0.0024584695480682917,-0.000870324229208376,0.000742155643612474,-0.0016116570094714398,-0.000488668684995922,0.0018651439680879914,0,0,0,0,0.03940306516604474,-0.14409961327478232,-0.05359583891625754,0.07382923352456951,0,0,0,0,0,0,0,0
