2.9076,2409.3,0.492
2.9544,2455.5,0.5
3.005,2494.4,0.508
3.055,2532.4,0.516
3.107,2582.4,0.524
3.154,2614.9,0.532
3.211,2665.3,0.54
3.2555,2701.1,0.548
3.3059,2736.4,0.556
3.3577,2781.0,0.564
3.4041,2814.9,0.572
3.4544,2857.3,0.58
3.505,2901.3,0.588
3.5562,2947.7,0.596
3.6054,2980.2,0.604
3.6563,3022.0,0.612
3.7052,3057.0,0.62
3.7561,3110.0,0.628
3.8066,3142.6,0.636
3.8606,3188.8,0.644
3.9128,3222.0,0.652
3.9577,3263.1,0.66
4.0074,3310.8,0.668
4.0584,3349.3,0.676
4.1042,3377.2,0.684
4.1544,3420.7,0.692
4.2059,3462.7,0.7
4.2539,3500.8,0.708
4.3062,3549.1,0.716
4.3552,3588.9,0.724
4.4041,3628.0,0.732
4.4568,3672.6,0.74
4.5041,3717.6,0.748
4.557,3754.6,0.756
4.6047,3792.3,0.764
4.6549,3837.3,0.772
4.7046,3876.5,0.78
4.7549,3924.3,0.788
4.8052,3959.0,0.796
4.8542,4008.8,0.804
4.9031,4046.5,0.796
4.9546,4079.4,0.788
5.0034,4085.5,0.78
5.0533,4089.5,0.772
5.1055,4071.9,0.764
5.1546,4064.0,0.756
5.2031,4045.6,0.748
5.2538,4019.2,0.74
5.304,3991.9,0.732
5.3529,3972.3,0.724
5.4029,3939.7,0.716
5.4568,3921.5,0.708
5.5035,3895.4,0.7
5.5522,3869.0,0.692
5.605,3853.3,0.684
5.6575,3809.7,0.676
5.7054,3798.1,0.668
5.7539,3772.6,0.66
5.807,3745.3,0.652
5.8549,3712.5,0.644
5.9084,3691.1,0.636
5.9579,3659.0,0.628
6.0087,3630.9,0.62
6.0584,3599.1,0.612
6.1062,3586.7,0.604
6.1613,3549.7,0.596
6.2062,3531.3,0.588
6.256,3499.1,0.58
6.3084,3472.7,0.572
6.3552,3439.0,0.564
6.4061,3425.9,0.556
6.4542,3395.5,0.548
6.507,3368.9,0.54
6.5553,3333.9,0.532
6.6073,3309.2,0.524
6.6542,3285.3,0.516
6.7051,3251.4,0.508
6.7568,3225.6,0.5
6.8051,3202.6,0.492
6.8543,3169.7,0.484
6.9066,3130.4,0.476
6.9559,3113.0,0.468
7.0105,3071.0,0.46
7.0537,3046.9,0.452
7.1037,3025.7,0.444
7.157,2980.6,0.436
7.2053,2958.9,0.428
7.2596,2902.4,0.42
7.3048,2881.3,0.412
7.354,2861.8,0.404
7.4063,2820.7,0.396
7.4537,2806.7,0.388
7.5054,2763.3,0.38
7.5539,2737.8,0.372
7.604,2706.8,0.364
7.6561,2654.5,0.356
7.7038,2639.4,0.348
7.7549,2584.5,0.34
7.8039,2571.6,0.332
7.8537,2526.3,0.324
7.9064,2489.6,0.316
7.9552,2453.0,0.308
8.0067,2419.3,0.3
8.0552,2392.3,0.292
8.1095,2327.5,0.284
8.1536,2306.0,0.276
8.2046,2265.9,0.268
8.2565,2220.3,0.26
8.3041,2187.5,0.252
8.3577,2144.1,0.244
8.4038,2102.5,0.236
8.4539,2072.4,0.228
8.506,2020.5,0.22
8.5613,1970.8,0.212
8.6047,1927.7,0.204
8.6553,1911.1,0.196
8.7037,1859.7,0.188
8.7566,1810.9,0.18
8.8089,1753.0,0.172
8.8537,1736.0,0.164
8.9071,1653.0,0.156
8.9517,1612.4,0.148
9.005,1569.4,0.14
9.0541,1513.5,0.132
9.1106,1457.6,0.124
9.1556,1423.1,0.116
9.2106,1369.2,0.108
9.2549,1307.7,0.1
9.3047,1224.5,0.092
9.3564,1193.6,0.084
9.404,1102.9,0.076
9.4545,1039.2,0.068
9.5067,978.1,0.06
9.5543,919.8,0.052
9.6071,831.6,0.044
9.6639,732.6,0.036
9.705,659.4,0.028
9.7573,571.4,0.02
9.8054,491.7,0.012
9.8587,364.8,0.004
9.9052,269.4,-0.004
9.9582,28.1,-0.012
10.0061,-11.4,-0.02
10.054,-35.0,-0.028
